example_id                                                                  | status | run_time        |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:1:1:1:1:1]                 | passed | 0.00517 seconds |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:1:1:1:2:1]                 | passed | 0.00313 seconds |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:1:1:1:3:1]                 | passed | 0.00246 seconds |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:1:1:2:1]                   | passed | 0.00284 seconds |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:1:2:1]                     | passed | 0.00672 seconds |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:1:3:1]                     | passed | 0.00221 seconds |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:2:1]                       | passed | 0.0022 seconds  |
./spec/requests/api/sleeps/clock_out_spec.rb[1:1:3:1]                       | passed | 0.00081 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:1:1]   | passed | 0.00814 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:1:2]   | passed | 0.00574 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:1:1] | passed | 0.00443 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:1:2] | passed | 0.00464 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:1:3] | passed | 0.00458 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:1:4] | passed | 0.00487 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:2:1] | passed | 0.00519 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:2:2] | passed | 0.0047 seconds  |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:2:3] | passed | 0.00463 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:2:4] | passed | 0.00415 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:2:5] | passed | 0.00461 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:2:6] | passed | 0.00437 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:2:2:7] | passed | 0.00469 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:3:1]   | passed | 0.00426 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:3:2]   | passed | 0.00519 seconds |
./spec/requests/api/sleeps/following_users_sleep_records_spec.rb[1:1:4:1]   | passed | 0.00559 seconds |
./spec/requests/api/sleeps/serialization_and_pagination_spec.rb[1:1:1]      | passed | 0.00524 seconds |
./spec/requests/api/sleeps/serialization_and_pagination_spec.rb[1:1:2]      | passed | 0.00568 seconds |
./spec/requests/api/sleeps/serialization_and_pagination_spec.rb[1:1:3]      | passed | 0.03761 seconds |
./spec/services/clock_in_service_spec.rb[1:1:1:1]                           | passed | 0.00609 seconds |
./spec/services/clock_in_service_spec.rb[1:1:2:1]                           | passed | 0.0053 seconds  |
./spec/services/clock_out_service_spec.rb[1:1:1:1]                          | passed | 0.01204 seconds |
./spec/services/clock_out_service_spec.rb[1:1:1:2]                          | passed | 0.00212 seconds |
./spec/services/clock_out_service_spec.rb[1:1:1:3]                          | passed | 0.00192 seconds |
./spec/services/clock_out_service_spec.rb[1:1:2:1]                          | passed | 0.013 seconds   |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:1:1]      | passed | 0.002 seconds   |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:2:1]      | passed | 0.00386 seconds |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:2:2]      | passed | 0.00434 seconds |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:2:3]      | passed | 0.00837 seconds |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:2:4]      | passed | 0.02254 seconds |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:3:1]      | passed | 0.00297 seconds |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:4:1]      | passed | 0.01076 seconds |
./spec/services/following_users_sleep_records_service_spec.rb[1:1:4:2]      | passed | 0.0129 seconds  |
